Papel;Empresa;CNPJ;Setor de atuação;Subsetor de atuação;Segmento de atuação;Patrimônio líquido;Ativos;Ativo circulante;Dívida bruta;Disponibilidade;Dívida líquida;Valor de mercado;Valor de firma;Número total de papéis;Segmento de listagem;Free float;Cotação atual;Mínima 52 semanas;Máxima 52 semanas;Dividend Yield;Valorização
bmks3;BICICLETAS MONARK S.A.;56.992.423/0001-90;Consumo Cíclico;Viagens e Lazer;Bicicletas;195180000;216937000;173335000;1583000;154165000;-152582000;145520000;-7062000;454750;;22.00;320.00;220.05;337.95;5.59;35.59
bmob3;BEMOBI MOBILE TECH S.A.;09.042.817/0001-05;Tecnologia da Informação;Programas e Serviços;Programas e Serviços;1030491000;1372793000;867188000;0;493411000;-493411000;1327272743;833861743;90909092;Novo Mercado;92.11;14.55;10.83;17.44;1.38;12.10
bnbr3;BCO NORDESTE DO BRASIL S.A.;07.237.373/0001-20;Financeiro e Outros;Intermediários Financeiros;Bancos;8190351000;65005841000;9640459000;-;9640459000;-;6477859800;6477859800;86371464;;0.71;75.00;65.96;83.50;5.89;6.02
boas3;BOA VISTA SERVIÇOS S.A.;11.725.176/0001-27;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos;2217811000;2652639000;1534133000;31366000;1346258000;-1314892000;4039569693;2724677693;532222621;Novo Mercado;99.67;7.62;4.06;8.55;3.51;36.56
bobr3;BOMBRIL S.A.;50.564.053/0001-03;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza;-179288000;904491000;426305000;367868000;59395000;308473000;149931244;458404244;260509779;;27.26;0.00;-;-;-;-
bobr4;BOMBRIL S.A.;50.564.053/0001-03;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza;-179288000;904491000;426305000;367868000;59395000;308473000;149931244;458404244;260509779;;27.26;1.22;1.14;1.60;-;-21.29
bpac11;BCO BTG PACTUAL S.A.;30.306.294/0001-45;Financeiro e Outros;Intermediários Financeiros;Bancos;42261953000;368817598000;339788148000;-;60692110000;-;90668225033;90668225033;11506119928;Nível 2;31.96;23.22;18.41;29.00;2.80;20.31
bpac3;BCO BTG PACTUAL S.A.;30.306.294/0001-45;Financeiro e Outros;Intermediários Financeiros;Bancos;42261953000;368817598000;339788148000;-;60692110000;-;90668225033;90668225033;11506119928;Nível 2;31.96;12.56;9.83;15.65;1.74;23.02
bpac5;BCO BTG PACTUAL S.A.;30.306.294/0001-45;Financeiro e Outros;Intermediários Financeiros;Bancos;42261953000;368817598000;339788148000;-;60692110000;-;90668225033;90668225033;11506119928;Nível 2;31.96;5.35;4.20;6.78;4.09;20.50
bpan4;BCO PAN S.A.;59.285.411/0001-13;Financeiro e Outros;Intermediários Financeiros;Bancos;7194527000;54308052000;13118000;-;0;-;7766515541;7766515541;1273199269;Nível 1;26.83;5.86;5.57;11.25;4.71;-39.27
bpar3;BCO ESTADO DO PARA S.A.;04.913.711/0001-08;Financeiro e Outros;Intermediários Financeiros;Bancos;1699347000;15280953000;1364376000;-;1364376000;-;1733606633;1733606633;9521649;;0.02;182.07;-;-;5.69;-
brap3;BRADESPAR S.A.;03.847.461/0001-92;Materiais Básicos;Mineração;Minerais Metálicos;7833582000;7927778000;890635000;0;842741000;-842741000;11953150982;11110409982;393096610;Nível 1;71.57;27.91;18.89;28.28;10.61;27.73
brap4;BRADESPAR S.A.;03.847.461/0001-92;Materiais Básicos;Mineração;Minerais Metálicos;7833582000;7927778000;890635000;0;842741000;-842741000;11953150982;11110409982;393096610;Nível 1;71.57;31.96;20.33;32.59;10.23;28.82
brbi11;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;10.739.356/0001-03;Financeiro e Outros;Intermediários Financeiros;Bancos;758689000;4150957000;4115074000;3267056000;4090987000;-823931000;1182251627;358320627;314987112;Nível 2;54.50;11.28;10.80;19.40;12.18;-26.42
brfs3;BRF S.A.;01.838.723/0001-27;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;12186918000;56832387000;25818028000;23026325000;8266021000;14760304000;9807207609;24567511609;1082473246;Novo Mercado;99.45;8.46;6.87;24.75;-;-64.51
